coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price,country,prices_raw,ounces_raw,price,ounces,price_per_ounces,agtron_whole,agtron_ground,Price Vs Score
Wilton Benitez Pink Bourbon Colombia,98,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Medium-Light,62/78,$20.00/8 ounces,Colombia,$20.00 ,8 ounces,20,8,2.5,62,78,-0.238%
Elida Estate Geisha Green-Tip Natural,98,"Boulder, Colorado","Boquete growing region, western Panama",Medium-Light,54/78,$100.00/21 grams,western Panama,$100.00 ,21 grams,100,0.740753805,134.997619,54,78,
GW03 Princesa Carmen Geisha,98,"Yilan, Taiwan","Paso Ancho, Panama",Medium-Light,58/74,"NT$ 2,500/20 grams",Panama,"NT$ 2,500",20 grams,2500,0.705479814,3543.6875,58,74,
Finca Sophia Gesha Washed,98,"San Rafael, California","Nueva Suiza, Chiriquí, Panama",Medium-Light,58/76,$50.00/4 ounces,Panama,$50.00 ,4 ounces,50,4,12.5,58,76,
Kahiko Orange,98,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,54/84,$99.95/8 ounces,“Big Island” of Hawai’i,$99.95 ,8 ounces,99.95,8,12.49375,54,84,
GW01 Finca Sophia Olympus Geisha,98,"Yilan, Taiwan","Nueva Suiza, Chiriquí, Panama",Medium-Light,58/76,"NT $5,000/20 grams",Panama,"NT $5,000",20 grams,5000,0.705479814,7087.375,58,76,
Yemen Haraaz Red Mahal Aqeeq ul Station Natural,97,"Topeka, Kansas","Sharqi, Haraaz, Yemen",Medium-Light,58/76,$35.00/8 ounces,Yemen,$35.00 ,8 ounces,35,8,4.375,58,76,
Roastmaster’s Reserve Esmeralda,97,"Minneapolis, Minnesota","Boquete growing region, western Panama",Medium,52/66,$19.99/8 ounces,western Panama,$19.99 ,8 ounces,19.99,8,2.49875,52,66,
Panama Geisha Vuelta DRD Natural Lot GN-01,97,"Hilo, Hawai’i Island, Hawai’i","Boquete growing region, western Panama",Light,64/88,$400.00/20 grams,western Panama,$400.00 ,20 grams,400,0.705479814,566.99,64,88,
Washed Geisha Hacienda La Esmeralda Jaramillo Special,97,"Boulder, Colorado","Boquete growing region, Panama",Medium-Light,56/76,$125.00/4 ounces; limited availability,Panama,$125.00 ,4 ounces; limited availability,125,4,31.25,56,76,
Perci Red Panama Gesha,97,"Lee, Massachusetts","Silla Del Pando, Volcan, Panama.",Medium,52/67,$75.95/16 ounces,Panama.,$75.95 ,16 ounces,75.95,16,4.746875,52,67,
Laura’s Reserve SL34,97,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Light,62/80,$69.95/8 ounces,“Big Island” of Hawai’i,$69.95 ,8 ounces,69.95,8,8.74375,62,80,
Finca La Mula Panama Geisha,97,"Madison, Wisconsin","Chiriqui, western Panama.",Medium,52/66,$59.95/8 ounces,western Panama.,$59.95 ,8 ounces,59.95,8,7.49375,52,66,
